Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
48	1000.0	0.0	1000.0	1000.0	1000.0	100.00471	0.091355614	100.599655	99.20612	245000	-5.698204e-09	0.008614748	-0.0036295664	-0.00014786981	0.19674483	0.003735332	0.0202	79.0	113.76827549934387
49	1000.0	0.0	1000.0	1000.0	1000.0	100.00276	0.09297743	100.62906	99.11834	250000	6.9618227e-09	0.009467107	-0.0056311227	-0.00030548126	0.18267061	0.0020651026	0.0408	79.0	116.26753950119019
50	1000.0	0.0	1000.0	1000.0	1000.0	99.99459	0.08813621	100.45121	99.099266	255000	9.787082e-09	0.008202557	-0.003232305	-0.00021513179	0.15076955	0.0023319179	0.0128	79.0	118.35642123222351
51	1000.0	0.0	1000.0	1000.0	1000.0	100.00391	0.08776694	100.48186	99.0905	260000	3.2305718e-09	0.008000722	-0.0056436323	-0.00015247427	0.1424718	0.004645454	0.0276	79.0	120.84897089004517
52	1000.0	0.0	1000.0	1000.0	1000.0	100.004295	0.08418952	100.55398	99.15326	265000	-1.22129915e-08	0.0075221495	-0.0048173866	-0.00018830784	0.13042954	0.0014365239	0.0238	79.0	123.50049757957458
53	1000.0	0.0	1000.0	1000.0	1000.0	99.9961	0.080367155	100.46214	99.32454	270000	1.3828277e-09	0.0065779267	-0.0053823455	-0.00016620662	0.12428833	9.7070086e-05	0.0304	79.0	125.84148931503296
54	1000.0	0.0	1000.0	1000.0	1000.0	100.00349	0.08184943	100.46976	99.22964	275000	-5.543232e-09	0.006819101	-0.0037986718	-8.778088e-05	0.10297109	0.004992172	0.0318	79.0	128.10738563537598
55	1000.0	0.0	1000.0	1000.0	1000.0	100.01445	0.07551282	100.63211	99.35242	280000	-5.841255e-09	0.0059308205	-0.005118481	-0.00022192858	0.07994433	0.0032302253	0.0266	79.0	130.57981967926025
56	1000.0	0.0	1000.0	1000.0	1000.0	100.00213	0.07618587	100.500755	99.335	285000	-8.022785e-09	0.00596508	0.011032711	-8.2539394e-05	0.06819022	0.016790748	0.2184	4.0	132.596333026886
57	1000.0	0.0	1000.0	1000.0	1000.0	99.98242	0.08244814	100.60262	99.161644	290000	-1.3947487e-08	0.007291984	-0.0036943231	-0.00065615075	0.06740129	0.0029795931	0.0172	79.0	134.8890175819397
58	1000.0	0.0	1000.0	1000.0	1000.0	99.99544	0.077162914	100.60845	99.48885	295000	1.0597706e-08	0.006131768	0.0017818292	-0.00027483515	0.06349434	0.015186683	0.1872	2.0	136.8494164943695
59	1000.0	0.0	1000.0	1000.0	1000.0	100.024	0.078066826	100.51711	99.19276	300000	2.9325484e-09	0.0066733337	-0.0041349293	-0.0006148126	0.06347654	0.002224046	0.0144	79.0	139.13380336761475
60	1000.0	0.0	1000.0	1000.0	1000.0	100.012726	0.07142771	100.529564	99.38088	305000	-2.2053719e-09	0.0052537885	-0.0047045713	-0.000289232	0.053046703	0.0015655261	0.0282	79.0	141.7757740020752
61	1000.0	0.0	1000.0	1000.0	1000.0	100.00399	0.06590403	100.47455	99.62348	310000	-2.3126603e-09	0.0043851775	-0.005438615	-6.786175e-05	0.022042345	0.0032611908	0.0344	79.0	144.22967791557312
62	1000.0	0.0	1000.0	1000.0	1000.0	100.00247	0.067761496	100.56994	99.428604	315000	2.706051e-09	0.004640782	-0.005957786	-4.6931673e-05	0.0041455016	0.007503924	0.049	79.0	146.5744926929474
63	1000.0	0.0	1000.0	1000.0	1000.0	100.00086	0.070722066	100.429886	99.1851	320000	-2.2530555e-09	0.005104522	-0.0062646447	-0.00015079649	-0.0205071	0.0050188676	0.0518	79.0	148.66270518302917
64	1000.0	0.0	1000.0	1000.0	1000.0	100.0078	0.06478527	100.578705	99.32487	325000	1.7511844e-08	0.0043316996	-0.00445336	-0.00016079331	-0.04689804	0.0038291023	0.0208	79.0	150.71511459350586
65	1000.0	0.0	1000.0	1000.0	1000.0	100.00421	0.06205084	100.37972	99.51083	330000	6.318092e-10	0.0039677736	-0.0038901793	-9.5229596e-05	-0.04723027	0.0024349242	0.0172	79.0	153.05676364898682
66	1000.0	0.0	1000.0	1000.0	1000.0	100.00193	0.061805714	100.52592	99.38476	335000	1.8393994e-08	0.0038557507	-0.00276811	-6.4276624e-05	-0.06827641	0.0021893794	0.0126	79.0	155.41439032554626
67	1000.0	0.0	1000.0	1000.0	1000.0	99.99888	0.060496833	100.39444	99.34077	340000	3.5762787e-10	0.0039004188	-0.0054045296	-6.150268e-05	-0.0732957	0.003933514	0.0418	79.0	157.57242274284363
68	1000.0	0.0	1000.0	1000.0	1000.0	99.998215	0.06356489	100.516624	99.31275	345000	-8.785725e-09	0.004118261	-0.004918652	-7.6388475e-05	-0.08624432	0.0032391322	0.0354	79.0	159.70603275299072
69	1000.0	0.0	1000.0	1000.0	1000.0	100.00142	0.061328143	100.53872	99.31244	350000	7.724762e-09	0.0038056057	-0.0033225361	-4.9081398e-05	-0.093350425	0.002456837	0.0116	79.0	161.8411922454834
70	1000.0	0.0	1000.0	1000.0	1000.0	100.00057	0.06381616	100.46789	99.27399	355000	-8.630753e-09	0.004147993	0.017403731	-5.6455377e-05	-0.10083316	0.03625633	0.4442	6.0	163.83071446418762
71	1000.0	0.0	1000.0	1000.0	1000.0	100.01606	0.067485	100.52201	99.2845	360000	4.61936e-09	0.0048498423	-0.0059715374	-0.0007734392	-0.10146803	0.0047524506	0.0374	79.0	166.0904722213745
72	1000.0	0.0	1000.0	1000.0	1000.0	99.998825	0.060244247	100.32235	99.26881	365000	-2.1100044e-09	0.003682283	-0.0042857816	-0.000115701696	-0.12041395	0.0017159733	0.0182	79.0	168.22836089134216
73	1000.0	0.0	1000.0	1000.0	1000.0	100.005974	0.060807228	100.35798	99.460144	370000	-5.1379203e-09	0.003727988	-0.0036807563	-9.305426e-05	-0.13759679	0.0014897507	0.024	79.0	170.78389739990234
74	1000.0	0.0	1000.0	1000.0	1000.0	100.00275	0.05752103	100.46849	99.45357	375000	-1.0308623e-08	0.0034733494	-0.0050950283	-6.8224035e-05	-0.16933672	0.0034017025	0.0368	79.0	173.2583510875702
75	1000.0	0.0	1000.0	1000.0	1000.0	100.00078	0.05305281	100.35777	99.49805	380000	8.8214874e-10	0.0028603673	-0.004052002	-5.9134793e-05	-0.17890725	0.0055082296	0.0354	79.0	175.79186153411865
76	1000.0	0.0	1000.0	1000.0	1000.0	99.99767	0.05734178	100.35868	99.29361	385000	2.384186e-10	0.0034987752	-0.0062747644	-0.000128682	-0.18561375	0.0044565652	0.0426	79.0	178.19938611984253
77	1000.0	0.0	1000.0	1000.0	1000.0	100.00451	0.05436928	100.45742	99.33597	390000	-1.1742115e-09	0.0030487347	0.0030078983	-7.665623e-05	-0.1867638	0.017501827	0.2394	2.0	180.1164858341217
78	1000.0	0.0	1000.0	1000.0	1000.0	100.009315	0.05406404	100.48514	99.59656	395000	-1.2278557e-08	0.0030257758	0.0036281762	-0.00017809332	-0.18678087	0.015664747	0.2648	1.0	181.99936318397522
79	1000.0	0.0	1000.0	1000.0	1000.0	100.008255	0.05482136	100.43839	99.40296	400000	-1.180172e-08	0.0031442016	0.0060291053	-0.0002668819	-0.18679424	0.015873639	0.2138	1.0	183.99976658821106
80	1000.0	0.0	1000.0	1000.0	1000.0	100.00828	0.052803215	100.30974	99.428825	405000	-4.9471853e-09	0.0028890297	-0.003613897	-0.00033574225	-0.18680564	0.0016815776	0.0214	79.0	186.325945854187
81	1000.0	0.0	1000.0	1000.0	1000.0	100.00224	0.04930069	100.26812	99.37213	410000	-8.034706e-09	0.002541409	-0.0033352377	-0.00015080767	-0.20578377	0.001983845	0.0172	79.0	188.52610206604004
